signatur,urheber,urheber_idn,titel,zusatztitel,technik,ort,verlag,jahr,blattmass,bildmass,reihe,preis,schlagwort,bemerkung,bemerkung2
Kbl 1963 C 38,,,Nagelverbindungen,Grafiker: K[urt] Eigler. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1963,860 x 1220,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1962 C 20,,,Niederdrucksammelpresse,Grafiker: Robert Specht. Hrsg. V. Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1962,860 x 1220,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1959 C 143,,,Das Nieten,Grafiker: Horst Link. Hrsg. Vom. Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1959,1228 x 870,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1956 C 210,,,Oberschlageinrichtung am Hodgson-Webstuhl,Graf. Gest.: Fritz Hampel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1956,1220 x 860,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
1925 T 16-4158,,,Der Otto-Motor,Zeichnung: Siegfried Werner,Mehrfarb. Offsetdruck,Stuttgart,Der Neue Schulmann,1965,640 x 920,5959 x 865,Der Neue Schulmann [Lfg 36] Nr 4158,"7.- DM; Gewebeaufzug mit Stäben 16.- DM; Verosrgung d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 214,,,Passungen I,Einheitswelle. Entwickelt nach Anreggn v. G. Reiche u. W. Schnurpel. Graphiker: Hans Groebe,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1955,1180 x 840,,,"9,40 DM; Gewebeaufzug mit Stäben 18,75 DM; Versorgg d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 217,,,Passungen Ia,Lage d. Toleranzfelder bei Bohrungen. Graphiker: Hans Groebe,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1955,600 x 840,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 326,,,Passungen II,Einheitsbohrungen. Graphiker: Hans Groebe,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1955,1200 x 850,,,"9,40 DM; Gewebeaufzug mit Stäben 18,75 DM; Versorgg d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 218,,,Passungen Iia,Lage d. Toleranzfelder bei d. Welle. Entwickelt nach Anreggn v. G. Reiche u. W. Schnurpel. Graphiker: Hans Groebe,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1955,600 x 840,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 160,,,Passungen III,Paßtoleranzen. Toleranzfelder im Maßstab 3000:1. Entwickelt v. G. Reiche u. W. Schnurpel. Graphiker: Hans Groebe,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1954,840 x 1180,,,"Gewebeaufzug mit Stäben 14,05 DM; Versorgg d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1959 C 92,,,Passungen IV,Grafiker: Antonescu. Hrsg. Vom. Dt. Zentralinst. F. Lehrmitel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1959,1210 x 860,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 142,,,Passungen V,Größe d. Toleranzfeldes (Qualität) in f. d. Nennmaßbereich 30-50 mm. M 2000:1. Entwickelt v. G. Reiche u. W. Schnurpel. Graphiker: Hans Groebe,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1954,840 x 1180,,,"Gewebeaufzug mit Stäben 13,05 DM; Versorgg d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1959 C 117,,,Passungen Va,Anwendung d. Qualitäten. Grafiker: Antonescu. Hrsg. Vom Dt. Zentralinst. F.Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1959,860 x 1215,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 216,,,Passungen VI,Oberflächenkennzeichen u. Rauhtiefen. Diese Darst. Entspricht d. normentechn. Stand vom 31. Dez. 1954. Grafiker: Hans Groebe,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1955,1180 x 840,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1967 C 6,,,Peltonturbine,Grafiker: Fritz Hampel. Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1966,860 x 1215,670 x 1020,,Preis nicht mitgeteilt,Technik,,
Kbl 1959 C 30,,,Pflanzmaschine I.,Grafiker: Fritz Hampel. Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1958,860 x 1220,,,"4,90 DM; Gewebeaufzug mit Stäben 13,90 DM; Versorgung d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1958 C 115,,,Pflanzmaschine II,Grafiker: Fritz Hampel. Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1958,880 x 1215,,,"4,50 DM; Gewebeaufzug mit Stäben 13,40 DM; Versorgung d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
1925 T 16-299,"Planck, W.",126303630,Martin Behaim,nach e. Originalaufn.,Mehrfarb. Offsetdruck,Stuttgart,Der praktische Schulmann [jetzt: Der Nee Schulmann],1954,640 x 920,570 x 860,[Der Neue Schulmann] Nr 299,6.- DM; f. Abonn. D. Neuen Schulmanns 4.- DM,Technik,,
Kbl 1960 C 28,,,Polyäthylen I,Normaldruckverfahren. Graphiker: Fritz Hampel. Hrsg. Vom. Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1959,1210 x 860,1060 x 750,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1960 C 239,,,Katalytische Polymerisation von gasförmigen Olefin-Paraffin-Gemischen zu Benzinkohlenwasserstoffen. Grafiker: Fritz Hampel. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1960,860 x 1215,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 67 C 83,,,Prinzip der Anschlagsteuerung,Grafiker: D. Gröschke. Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1967,1220 x 860,,,"Rohbogen 9,40 DM, auf Lwd aufgez. 18,80 DM",Technik,,
Kbl 1956 C 86,,,Prinzip des Flügelspinnens,Graf. Gest: Fritz Hampel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1956,1020 x 700,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1968 C 19,,,Prinzip der Meßsteuerung,Grafiker: D. Gröschke. Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1968,1220 x 860,,,"Rohbogen 9,40 DM, auf Lwd aufgez. 18,80 DM",Technik,,
Kbl 1967 C 83,,,Prinzip der Nachformsteuerung,Grafiker: D. Gröschke. Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1967,1220 x 860,,,"Rohbogen 9,40 DM, auf Lwd aufgez. 18,80 DM",Technik,,
Kbl 1968 C 8,,,Prinzip der Repetiersteuerung,Grafiker: D. Gröschke. Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1968,1220 x 855,,,"Rohbogen 9,40 DM, auf Lwd aufgez. 18,80 DM",Technik,,
Kbl 1956 C 85,,,Prinzip des Ringespinnens,Graf. Gest.: Fritz Hampel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1956,1020 x 700,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1968 C 9,,,Prinzip der numerischen Steuerung I.,Grafiker: D. Gröschke. Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1968,1220 x 855,,,"Rohbogen 9,40 DM, auf Lwd aufgez. 18,80 DM",Technik,,
Kbl 1968 C 18,,,Prinzip der numerischen Steuerung II.,Grafiker: Richard Dabers. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1968,860 x 1220,,,"Rohbogen 6.- DM, auf Lwd aufgez. 16,90 DM",Technik,,
Kbl 1956 C 96,,,Prinzip des Wagenspinnens,Graf. Gest.: Fritz Hampel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1956,1010 x 755,810 x 620,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1959 C 199,,,Profilwellen und Profilnaben,Grafiker: Fritz Hampel. Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1959,860 x 1215,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1959 C 253,,,Protektorspritzkopf,Graphiker: Fritz Hampel. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1959,1210 x 860,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1961 C 161,,,Pumpenumlaufkühlung,Grafiker: G. Klaus. Hrsg. Vom Dt. Pädagog. Zentralinstitut,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1961,860 x 1215,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 135,,,Querschnitt und Arbeitsweise eines Saatgutbereiters,[Zeichng:] Erich Trautzsch,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1954,1180 x 160,,,"23,15 DM; Gewebeaufzug mit Stäben 41,90 DM; Versorgg d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1961 C 159,,,Elektrischer Regler,Grafiker: Fritz Hampel. Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1961,1215 x 860,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1964 C 8,,,Hydraulischer Regler,Grafiker: F. Hampel. Autor: E. Heldt. Hrsg. Vom Dt. Pädagog. Zentralinst. Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1964,1220 x 860,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1961 C 160,,,Mechanischer Regler,Grafiker: Fritz Hampel. Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1961,860 x 1215,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1961 C 157,,,Pneumatischer Regler,Grafiker: Fritz Hampel. Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1961,860 x 1215,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1965 C 81,,,Hydraulischer Reglerblock für Druckregelung,Grafiker: Fritz Hampel. Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1965,1220 x 860,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 128,,,Regnertypen,[Zeichng:] Wilhelm Sommer,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1954,840 x 1180,,,"9,40 DM; Gewebeaufzug mit Stäben 18,75 DM; Versorgg d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,[nebst] Erl.-Bl.,
Kbl 1959 C 95,,,Reibahlen,Grafiker: H. Grothmann. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1959,1220 x 860,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1960 C 231,,,Röntgenprobe,Entwurf u. graph. Ausführg in Zus.arbeit mit d. Method. Kabinett Berlin. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1960,1220 x 860,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 308,,,Schaltwerk (Positiver Regulator),Autor: Albert Meisel. Graf. Gest.: Fritz Hampel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1955,1220 x 860,,,"15,65 DM ; Gewebeaufzug mit Stäben 25.-; Versorgg d. Kindergärten, Schulen und Berufsschulen durch den Verlag zu Schulabgabepreisen",Technik,,
Kbl 1956 C 36,,,Schaufelschaftmaschine,Graf. Gest.: Fritz Hampel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1956,1200 x 860,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 132,,,Scheibenkupplung,Graphiker: Hans Groebe,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1954,1180 x 840,,,"9,40 DM; Gewebeaufzug mit Stäben 18,75 DM; Versorgg d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1963 C 131,,,Schlagleisten-Dreschwerk,"Baugruppen Dreschkorb u. Dreschtrommel d. Mähdreschers ""Patriot"". Grafiker: R. Specht. Hrsg. Vom Pädagog. Zentralinst., Dt. Zentralinst. F. Lehrmittel",Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1963,860 x 1220,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1959 C 252,,,Schlauch- und Schrägspritzkopf,Graphiker: Fritz Hampel. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1959,1210 x 860,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1959 C 31,,,Schneidbrenner,Grafiker: Richard Dabers. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1958,860 x 1215,,"Gasschmelzschweißen, III.","10,90 DM; Gewebeaufzug mit Stäben 19,90 DM; Versorgung d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1959 C 50,,,Schnellwaage,Grafiker: Fritz Hampel. Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1959,860 x 1220,,,"12,40 DM; Gewebaufzug mit Stäben 21,40 DM; Versorgung d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1961 C 92,,,Schraubensicherungen I,Kraftschlüssig. Autor: G. Reiche. Grafiker: R. Dabers. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1961,865 x 1215,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1961 C 93,,,Schraubensicherungen II,Formschlüssig. Autor: G. Reiche. Grafiker: R. Dabers. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1961,865 x 1215,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1958 C 81,,,Schraubenverbindung,Allg. Herstellungsgang. Grafiker: Heinz Grothmann. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1958,855 x 1215,,,Preis nach Anfrage,Technik,,
Kbl 1956 C 95,,,"Schreibmaschine mit Bezeichnung der Teile, dargest. Am Typ ""Ideal 10"". Autor: Wolfgang Hürrig. Graphiker: Wilhelm Sommer",,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1956,750 x 1000,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1959 C 124,,,Schutzgassschweissen,Grafiker: F. Hampel. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1959,1220 x 860,,Lichtbogenschweißen. VII.,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1968 C 7,,,Aluminothermisches Schweißen,Grafiker: H. Dost,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1968,1220 x 855,,,"Rohbogen 5.- DM, auf Lw. Aufgezogen 14,40 DM",Technik,,
Kbl 1959 C 145,,,Schweißgleichrichter,Grafiker: Fritz Hampel. Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1959,870 x 1230,,Lichtbogenschweißen VIII.,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1959 C 27,,,Schweißnähte an Behältern,Grafiker: Fritz Hampel. Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1958,1220 x 860,,,"9,40 DM; Gewebeaufzug mit Stäben 18,75 DM; Versorgg d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1962 C 18,,,Hydraulischer Schwenkkran,Grafiker: Robert Specht. Hrsg. V. Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1962,860 x 1220,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1970 C 2,,,"Isolierender Selbstretter, Typ Sch S 7",,Einfarb. Offsetdruck,[Leipzig],[Hauptstelle für das Grubenrettungs- u. Gasschutzwesen bei der Obersten Bergbehörde der DDR],1969,1215 x 860,,,Preis nicht mitgeteilt,Technik,,
Kbl 1959 C 94,,,Senker,Grafiker: H. Grothmann. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1959,860 x 1220,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 223,,,Sieblinienbereiche für Betongesamtzuschlagstoffe nach DIN 1045,,Offsetdruck,Berlin,Volk und Wissen,1955,865 x 1200,,,"4,50 DM; Gewebeaufzug mit Stäben 13,40 DM; Versorgung d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 222,,,Sieblinienbereiche für Betonsand nach DIN 1045,,Offsetdruck,Berlin,Volk und Wissen,1955,1200 x 865,,,"4,50 DM; Gewebeaufzug mit Stäben 13,40 DM; Versorgung d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
"Kbl 1966 A 1-1,2","Solta, Jurig und Petr Solta",,Wobrazowa zberja 1,"Hrsg.: Wudal nemski pedagogiski centralny institut, sekcija VI",Strichätzung,[Bautzen],Domowina-Verlag,1965,240 x 165,,,"0,50 DM (DDR)",Technik,in Mappe,
Kbl 1960 C 172,,,Spiegelreflexkamera,Grafiker: Fritz Hampel. Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1960,1215 x 860,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1962 C 85,,,Spindelkasten der DLZ 355,Grafiker: R. Dabers. Hrsg. Vom. Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1962,865 x 1220,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1958 C 146,,,Spindellenkung,Grafiker: Wilhelm Sommer. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1958,1215 x 860,,,"7,90 DM; Gewebeaufzug mit Stäben 17,20 DM; Versorgung d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1958 C 150,,,Spiralbohrer,Grafiker: Jagemann. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1958,1210 x 855,,,"6,25 DM; Gewebeaufzug mit Stäben 15.- DM; Versorgung d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1960 C 217,,,"Spritz-, Sprüh- und Stäubegerät zum RS 09",Taf. I: Stäuben. Grafiker: Robert Specht. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1960,865 x 1215,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1960 C 218,,,"Spritz-, Sprüh- und Stäubegerät zum RS 09",Taf. II: Sprühen. Grafiker: Heinz Grothmann. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1960,860 x 1215,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 168,,,Stahllamellen-Schaltkupplung,Taf. 1: Graphiker: Hans Groebe,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1954,1180 x 840,,,"9,40 DM; Gewebeaufzug mit Stäben 18,75 DM; Versorgg d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 169,,,Stahllamellen-Schaltkupplung,Taf. 2: Graphiker: Hans Groebe,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1954,840 x 1180,,,"9,40 DM; Gewebeaufzug mit Stäben 18,75 DM; Versorgg d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1960 C 69,,,Steinkohlenbergwerk mit beweglichen Födereinrichtungen,Schemat. Darst. V. Einrichtgn u. Vorgängen. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1960,610 x 860,,,Preis nicht mitgeteilt,Technik,,
Kbl 1959 C 147,,,Steuerventil und Bremskraftregler,Bremsstellung bei leerem Anhänger. Grafiker: Eigler. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1959,862 x 1220,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1959 C 161,,,Steuerventil und Bremskraftregler,Fahrstellung bei beladenem Anhänger. Grafiker: Eigler. Hrsg. Vom Dt. Zentralinst. F. Lehrmittel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1959,862 x 1220,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 221,,,Stichbildung an der Nähmaschine (Doppelumlaufgreifer),Taf. 1. Graf. Gest.: Fritz Hampel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1955,840 x 1180,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 298,,,Stichbildung an der Nähmaschine (Doppelumlaufgreifer),Taf. 2. Graf. Gest.: Fritz Hampel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1955,90 x 1215,,,"15,65 DM ; Gewebeaufzug mit Stäben 25.-; Versorgg d. Kindergärten, Schulen und Berufsschulen durch den Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 305,,,Stichbildung an der Nähmaschine (Zentralspulengreifer),Taf. 1. Graf. Gest.: Fritz Hampel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1955,900 x 1215,,,"15,65 DM ; Gewebeaufzug mit Stäben 25.-; Versorgg d. Kindergärten, Schulen und Berufsschulen durch den Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 210,,,Stichbildung an der Nähmaschine (Zentralspulengreifer),Taf. 2. Graf. Gest.: Fritz Hampel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1955,840 x 1180,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
Kbl 1955 C 212,,,Stichbildung an der Zickzack-Nähmaschine,Graf. Gest.: Fritz Hampel,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1955,840 x 1180,,,"Preis nach Anfrage; Versorgung d. Kindergärten, Schulen und Berufsschulen durch d. Verlag zu Schulabgabepreisen",Technik,,
