signatur,urheber,idn,titel,zusatz,bem2,ort,verlag,entstehung,blatt,bild,reihe,preis,schlagwort,bemerkung,technik,motiv,idn_technik,mappe,grafiker,hrsg,hrsg2
Kbl 1964 C 9,"Tauchelt, Sigrid",,Zuckerrübe,"Hrsg. vom Dt. Pädagog. Zentralinst., Dt. Zentralinst. f. Lehrmittel",Mehrfarb. Offsetdruck,Berlin,Volk u. Wissen,1964,1225 x 860,,,,Botanik,"Best.Nr. 70606-1, Preis nach Anfrage; Versorgung d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Offsetdruck,!041740475!,41333357,,,!004686144!,!004686209!
Kbl 1965 A 11,"Tacke, Eb[erhard]",142824623,Prediger in der Wüste,,Orig.-Radierung,"[1054 Berlin, Wilhelm-Pieck-Str. 43]",E. Tacke,1965,260 x 365,170 x 215,,25.- DM,Altes Testament,,Radierung,,40481662,,,,
Kbl 1965 A 13,"Gogh, Vincent van",118540416,Kirche von Auvers,,Mehrfarb. Autotypie,Leipzig,Seemann,1965,300 x 215,225 x 180,,"1,50 DM (DDR)","Bauliche Motive, Kirchen, Kapellen",[Neuaufl.],Autotypie,!041205650!,41437233,,,,
Kbl 1965 A 14,"Liotard, Jean-Étienne",118780115,Schokoladenmädchen,,Mehrfarb. Autotypie,Leipzig,Seemann,1965,300 x 215,240 x 150,,"1,50 DM (DDR)",Mädchenbilder,[Neuauflage],Autotypie,!042497426!,41437233,,,,
Kbl 1965 A 15,"Gogh, Vincent van",118540416,"Restaurant ""Siréne""",,Mehrfarb. Autotypie,Leipzig,Seemann,1965,215 x 300,180 x 230,,"1,50 DM (DDR)","Anonyme Motive, Verschiedene",,Autotypie,,41437233,,,,
Kbl 1965 A 18,"Cèzanne, Paul",118519964,Die blaue Vase,,Mehrfarb. Autotypie,Leipzig,Seemann,1963,300 x 215,225 x 185,,1.5,Blumenstilleben,"Kbl [Nr] 8365, [Neuaufl.]",Autotypie,!041127943!,41437233,,,,
Kbl 1965 A 19,"Courtens, Frans",142796158,Allee im Sonnenschein,,Mehrfarb. Autotypie,Leipzig,Seemann,1965,300 x 215,229 x 189,,"1,50 DM (DDR)","Flachland, Anonyme Landschaften","Baum, Wald",Autotypie,!962679267!,41437233,,,,
Kbl 1965 A 2,"Brauer, Johannes",11867336X,Bison,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,250 x 375,156 x 220,,25,"Tierbilder, Bisamratte",Best.Nr 588,Radierung,!041854640!,40481662,,,,
Kbl 1965 A 20,"Modigliani, Amadeo",118582941,Frau mit großem Hut,,Mehrfarb. Autotypie,Leipzig,Seemann,1965,300 x 215,240 x 170,,"1,50 DM (DDR)","Bildnisse, Anonym (Fortsetzung); Mütter-, Frauenbilder",[Neuauflage],Autotypie,!041207785!,41437233,,,,
Kbl 1965 A 21,"Monet, Claude",11858345X,Die Küste bei Etretat,,Mehrfarb. Autotypie,Leipzig,Seemann,1965,215 x 300,175 x 220,,"1,50","Meer, Bezeichnete Motive",Kbl [Nr] 12181,Autotypie,!041692357!,41437233,,,,
Kbl 1965 A 22,"Renoir, Auguste",118599755,Badende auf einem Felsen,,Mehrfarb. Autotypie,Leipzig,Seemann,1965,300 x 215,230 x 175,,"1,50",Figurenbild,[Neuaufl.],Autotypie,,41437233,,,,
Kbl 1965 A 23,"Watteau, Antoine",118629492,Unterhaltung im Freien,,Mehrfarb. Autotypie,Leipzig,Seemann,1965,215 x 300,180 x 220,,"1,50",Mensch in d. Landschaft,[Neuaufl.],Autotypie,,41437233,,,,
Kbl 1965 A 24,"Degas, Edgar",118524291,Ballettklasse,,Mehrfarb. Autotypie,Leipzig,Seemann,1963,300 x 215,205 x 180,,"1,50 DM (DDR)",Tänzerin,[Neuauflage],Autotypie,!943261732!,41437233,,,,
Kbl 1965 A 25,Giorgione,118539469,Schlummernde Venus,,Mehrfarb. Autotypie,Leipzig,Seemann,1963,215 x 300,160 x 265,,"1,50 DM (DDR)",Anonyme Motive: Akte,[Neuaufl.],Autotypie,!963082795!,41437233,,,,
Kbl 1965 A 26,"Brauer, Johannes",11867336X,Feldarbeit,,Orig.-Mehrplatten-Farbradierung,Leipzig,Scholle-Verlag,1965,250 x 375,140 x 195,,25.- DM (DDR),Bäuerliche Motive,,Radierung,!942155386!,40481662,,,,
Kbl 1965 A 27,"Brauer, Johannes",11867336X,Tropensee,,Orig.-Holzschnitt,Leipzig,Scholle-Verl.,1965,250 x 375,150 x 220,,15,Anonyme Motive,Best.Nr H 33,Holzschnitt,,40257363,,,,
Kbl 1965 A 29,"Brauer, Johannes",11867336X,Mantelpaviane,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,330 x 250,120 x 100,,4,"Tierbilder, Löwen","[Neuaufl.], Best.Nr 3",Radierung,!041144368!,40481662,,,,
Kbl 1965 A 3,"Brauer, Johannes",11867336X,"""Politik"" [Atomwaffengegner]",Ausstellung München-Düsseldorf,Orig.-Mehrplatten-Farbradierung,Leipzig,Scholle-Verlag,1965,375 x 250,295 x 207,,40.- DM (BRD),Geschichtliche Motive,Polit. Motive,Radierung,!041569717!,40481662,,,,
Kbl 1965 A 30,"Brauer, Johannes",11867336X,Mantelpaviane,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,330 x 250,95 x 100,,4,"Tierbilder, Löwen","[Neuaufl.], Best.Nr 4",Radierung,!041144368!,40481662,,,,
Kbl 1965 A 31,"Brauer, Johannes",11867336X,Winter,,Orig.-Radierung,Leipzig,Scholle-Verlag,1965,375 x 250,160 x 120,,15.- DM (DDR),Jahreszeiten ; Winter,[Neuauflage],Radierung,!041899709!,40481662,,,,
Kbl 1965 A 32,"Brauer, Johannes",11867336X,Wildpferde,,Orig.-Holzschnitt,Leipzig,Scholle-Verl.,1965,375 x 275,200 x 150,,25,"Tierbilder, Pferd","Best.-Nr H 36, [Neuaufl.]",Holzschnitt,!041921526!,40257363,,,,
Kbl 1965 A 33,"Brauer, Johannes",11867336X,Arbeit an der Gicht,,Orig.-Holzschnitt,Leipzig,Scholle-Verlag,1965,375 x 250,230 x 165,,18.- DM (DDR),Industrie,[Neudruck],Holzschnitt,!041616022!,40257363,,,,
Kbl 1965 A 38,"Stößel, [Johann Adam Philipp]",130275255,Prospect der Reichs-Stadt Schweinfurth von der Mittagsseite,I. E. Schmidt sculpt. 1783. Mit 1 Bl. Begleittext v. Erich Saffert,Kupferstich,Schweinfurt,Historischer Verein,1964,205 x 280,132 x 160,Jahresgabe d. Historischen Vereins Schweinfurt 1963,,,,Kupferstich,,04033760X,,,,
Kbl 1965 A 39,"Gruner, Erich",119252686,In memoriam 1965,,Orig.-Radierung,[Leipzig],Gruner,1965,145 x 200,85 x 110,,"Probedruck 20.- DM (DDR) ; Auflagendruck 1,50 DM (DDR)",Deutschland,,Radierung,!041133005!,40481662,,,,
Kbl 1965 A 4,"Brauer, Johannes",11867336X,Katzenkopf,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,375 x 250,155 x 115,,"8,50","Tierbilder, Katze",Best.Nr 130,Radierung,!04114158X!,40481662,,,,
Kbl 1965 A 40,"Brauer, Johannes",11867336X,Habicht,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,300 x 210,165 x 125,,12,"Tierbilder, Vögel",Best.Nr 69,Radierung,!041218787!,40481662,,,,
Kbl 1965 A 41,"Brauer, Johannes",11867336X,Meerschweinchen,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,210 x 300,100 x 150,,16,"Tierbilder, Verschiedenes",Best.Nr 101,Radierung,!041854640!,40481662,,,,
Kbl 1965 A 42,"Brauer, Johannes",11867336X,Marabu,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,340 x 245,240 x 160,,24,"Tierbilder, Vögel",Best.Nr 154,Radierung,!041218787!,40481662,,,,
Kbl 1965 A 43,"Brauer, Johannes",11867336X,Junglöwe,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,370 x 255,240 x 165,,24,"Tierbilder, Löwen",Best.Nr 289,Radierung,!041144368!,40481662,,,,
Kbl 1965 A 46,"Brauer, Johannes",11867336X,Männl[icher] Löwe,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,250 x 330,100 x 185,,15,"Tierbilder, Löwen",Best.Nr 6,Radierung,!041144368!,40481662,,,,
Kbl 1965 A 47,"Brauer, Johannes",11867336X,An der Waldstraße,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,297 x 210,180 x 140,,15,Anonyme Motive,Best.Nr 98,Radierung,,40481662,,,,
Kbl 1965 A 48,"Brauer, Johannes",11867336X,Wald im Nebel,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,210 x 297,110 x 160,,12,Anonyme Motive,Best.Nr 103,Radierung,,40481662,,,,
Kbl 1965 A 49,"Brauer, Johannes",11867336X,Kiefer,,Orig.-Radierung,[Leipzig],Scholle-Verlag,1965,297 x 210,175 x 115,,12.- DM (DDR),"Bäume und Sträucher, Kiefer",,Radierung,!041126750!,40481662,,,,
Kbl 1965 A 5,"Brauer, Johannes",11867336X,Einfallende Wildgänse,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,250 x 375,158 x 220,,30,"Tierbilder, Geflügel, Gänse",Best.Nr 577,Radierung,!969772041!,40481662,,,,
Kbl 1965 A 50,"Brauer, Johannes",11867336X,Kiefer,,Orig.-Radierung,[Leipzig],Scholle-Verlag,1965,297 x 210,155 x 120,,12.- DM (DDR),"Bäume und Sträucher, Kiefer",,Radierung,!041126750!,40481662,,,,
Kbl 1965 A 51,"Brauer, Johannes",11867336X,Tanne,,Orig.- Radierung,[Leipzig],[Scholle-Verlag],1965,297 x 210,175 x 115,,12.- DM (DDR),"Bäume und Sträucher, Tanne",,Radierung,!041126750!,40481662,,,,
Kbl 1965 A 6,"Brauer, Johannes",11867336X,Distelfalter,,Orig.-Vierplatten-Farbradierung,Leipzig,Scholle-Verl.,1965,375 x 250,122 x 95,,40,"Tierbilder, Schmetterling",Best.Nr 616,Radierung,!042651255!,40481662,,,,
Kbl 1965 A 8,"Delacroix, Eugene",118524461,Kriegsszene in Griechenland,,Mehrfarb. Autotypie,Leipzig,Seemann,1964,220 x 300,180 x 230,,"1,50 DM (DDR)",Geschichtliche Motive,"Geschichte, Tier: Pferd",Autotypie,!041569717!,41437233,,,,
Kbl 1965 A 9,"Brauer, Johannes",11867336X,Schwanensee,,Orig.-Vierplatten-Farbradierung,Leipzig,Scholle-Verl.,1965,375 x 250,140 x 115,,40,Anonyme Motive,Best.Nr 618,Radierung,,40481662,,,,
Kbl 1965 B 1,"Brauer, Johannes",11867336X,Boxer,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,375 x 250,183 x 127,,20,"Tierbilder, Hunde",Best.Nr 586,Radierung,!041204662!,40481662,,,,
Kbl 1965 B 10,"Dürer, Albrecht",11852786X,Das große Rasenstück,,Mehrfarb. Lichtdruck,Dresden,Verl. d. Kunst,1965,520 x 410,400 x 310,Dresdner Meisterdruck. M 1197,14,"Blumenbilder, Vermischte Arten",,Lichtdruck,!041127943!,42736064,,,,
Kbl 1965 B 11,"Brauer, Johannes",11867336X,Schizophrene Kunst,Frühlingserwachen,Orig.-Vierplatten-Farbradierung,Leipzig,Scholle-Verlag,1965,420 x 300,218 x 156,,50.- DM (DDR),Abstrakte Malerei,Ideenbild?,Radierung,!1083270532!,40481662,,,,
Kbl 1965 B 12,"Brauer, Johannes",11867336X,Gebirgslandschaft,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,470 x 330,240 x 145,,28,Anonyme Motive,Best.Nr 176,Radierung,,40481662,,,,
Kbl 1965 B 14,"Toulouse-Lautrec, Henri de",11862346X,Im Moulin Rouge,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1965,495 x 520,405 x 460,,10.- DM (DDR),Verschiedenes,[Neuauflage],Offsetdruck,,41333357,,,,
Kbl 1965 B 15,"Gogh, Vincent van",118540416,Sonnenblumen,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1965,590 x 455,500 x 395,,10,"Blumenbilder, Sonnenblumen","[Neuaufl.], Best.Nr 15075",Offsetdruck,!941234398!,41333357,,,,
Kbl 1965 B 18,"Brauer, Johannes",11867336X,Elch,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,410 x 290,240 x 160,,24,"Tierbilder, Rotwild, Hirsche",Best.Nr 151,Radierung,!041931025!,40481662,,,,
Kbl 1965 B 19,"Brauer, Johannes",11867336X,Fuchs im Schnee,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,410 x 290,240 x 160,,24,"Tierbilder, Fuchs",Best.Nr 147,Radierung,!041555619!,40481662,,,,
Kbl 1965 B 2,"Brauer, Johannes",11867336X,Kindergärtnerin,,Orig.-Mehrplatten-Farbradierung,Leipzig,Scholle-Verlag,1965,375 x 250,198 x 140,,25.- DM (DDR),Ständebilder,,Radierung,,40481662,,,,
Kbl 1965 B 20,"Brauer, Johannes",11867336X,Hirsch,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,420 x 300,175 x 115,,20,"Tierbilder, Rotwild, Hirsche",Best.Nr 399,Radierung,!041931025!,40481662,,,,
Kbl 1965 B 21,"Szönyi, István",,Blühende Bäume,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1964,605 x 795,485 x 695,"Gradus-Blätter, G 3267",24.- DM (DDR),Jahreszeiten ; Frühling,,Lichtdruck,!04130974X!,42736064,,,,
Kbl 1965 B 22,"Brauer, Johannes",11867336X,Aus dem Oberholz,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,470 x 330,210 x 160,,20,Bezeichnete Motive,Best.Nr 74,Radierung,,40481662,,,,
Kbl 1965 B 23,"Brauer, Johannes",11867336X,Im Oberholz,,Orig.-Mehrfarbenradierung,Leipzig,Scholle-Verl.,1965,480 x 330,180 x 160,,30,Bezeichnete Motive,Best.Nr 97,Radierung,,40481662,,,,
Kbl 1965 B 24,"Brauer, Johannes",11867336X,Störche,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,490 x 360,183 x 130,,20,"Tierbilder, Vögel",Best.Nr 431,Radierung,!041218787!,40481662,,,,
Kbl 1965 B 25,"Gerlach, Erich",174211570,Am Morgen,,Mehrfarb. Lichtdruck,Dresden,Verl. d. Kunst,1965,545 x 625,425 x 525,Gradus-Blätter. G 3269,20,"Tageszeiten, Morgen",,Lichtdruck,!042376262!,42736064,,,,
Kbl 1965 B 3,"Brauer, Johannes",11867336X,Sportlehrerin,,Orig.-Mehrplatten-Farbradierung,Leipzig,Scholle-Verlag,1965,375 x 250,198 x 140,,25.- DM (DDR),Ständebilder,,Radierung,,40481662,,,,
Kbl 1965 B 4,"Brauer, Johannes",11867336X,Schwestern Zilly,,Orig.-Mehrplatten-Farbradierung,Leipzig,Scholle-Verlag,1965,375 x 250,190 x 135,,25.- DM (DDR),Tänzerin,,Radierung,!943261732!,40481662,,,,
Kbl 1965 B 5,"Brauer, Johannes",11867336X,Heideweg,,Orig.-Holzschnitt,Leipzig,Scholle-Verlag,1965,375 x 250,210 x 150,,10.- DM (DDR),"Flachland, Bezeichnete Landschaften",[Neuauflage],Holzschnitt,!962679267!,40257363,,,,
Kbl 1965 B 6,"Brauer, Johannes",11867336X,Heideabend,,Orig.-Holzschnitt,Leipzig,Scholle-Verlag,1965,375 x 250,195 x 140,,10.- DM (DDR),"Flachland, Bezeichnete Landschaften",,Holzschnitt,!962679267!,40257363,,,,
Kbl 1965 B 7,"Brauer, Johannes",11867336X,Maikäfer,,Orig.-Radierung,Leipzig,Scholle-Verl.,1965,300 x 210,120 x 83,,10,"Tierbilder, Käfer",Best.Nr 35,Radierung,!041302656!,40481662,,,,
Kbl 1965 B 8,"Tacke, Eb[erhard]",142824623,Christophorus,,Orig.-Radierung,"[1054 Berlin, Wilhelm-Pieck-Str. 43]",E. Tacke,1965,510 x 360,240 x 210,,40.- DM,Heiligenbilder,,Radierung,!041593936!,40481662,,,,
Kbl 1965 B 9,"Ostade, Adriaen van",118590421,Der Maler in seiner Werkstatt,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1965,495 x 445,375 x 355,[Dresdner Meisterdruck] M 1198,14.- DM (DDR),Ständebilder ; Maler,,Lichtdruck,!041687094!,42736064,,,,
Kbl 1965 C 1,,,Funktion der Membranmörtelpumpe,"MMPH 3. Hrsg. Vom Dt. Pädagog. Zentralinst., Dt. Zentralinst. F. Lehrmittel",Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1964,865 x 1220,,,,Technik,,Offsetdruck,!041316169!,41333357,,Robert Specht,!004686144!,!004686209!
Kbl 1965 C 10,"Stengel, Gerhard",118617680,Ansicht von Pillnitz,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1964,460 x 575,370 x 495,,10.- DM (DDR),"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,Offsetdruck,!041266714!,41333357,,,,
Kbl 1965 C 12,,,Mathematische Zeichen,"Autor: G. Erbrecht. Hrsg. Vom Dt. Pädagog. Zentralinst., Dt. Zentralinst. F. Lehrmittel",Offsetdruck,Berlin,Volk und Wissen,1964,730 x 1040,,,,Mathematik,,Offsetdruck,!043084087!,41333357,,R. Lehmann,!004686144!,!004686209!
Kbl 1965 C 13,"Dost, H",,Rosengewächse (Süßkirsche),"Hrsg. vom Dt. Pädagog. Zentralinst., Dt. Zentralinst. f. Lehrmittel",Mehrfarb. Offsetdruck,Berlin,Volk u. Wissen,1964,1215 x 855,,,,Botanik,"Best.Nr. 701222-1, Preis nach Anfrage; Versorgung d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Offsetdruck,!041740475!,41333357,,,!004686144!,!004686209!
Kbl 1965 C 14,"Dost, H",,Kreuzblütengewächse (Raps),"Hrsg. vom Dt. Pädagog. Zentralinst., Dt. Zentralinst. F. Lehrmittel",Mehrfarb. Offsetdruck,Berlin,Volk u. Wissen,1964,1215 x 855,,,,Botanik,"Best.Nr 701224-1, Preis nach Anfrage; Versorgung d. Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Offsetdruck,!041740475!,41333357,,,!004686144!,!004686209!
Kbl 1965 C 15,"Macke, August",118575864,Spaziergang auf der Brücke,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1965,495 x 555,405 x 495,,10,Mensch in d. Landschaft,FOK Nr 15108,Offsetdruck,,41333357,,,,
Kbl 1965 C 16,"Slevogt, Max",118614940,Blumengarten mit Pfau in Neu-Gladow,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1965,485 x 555,395 x 495,,10,Gartenbilder,FOK Nr 15111,Offsetdruck,!041213106!,41333357,,,,
Kbl 1965 C 18,,,Löwe (Mosaik),(Ravenna S. Vitale),Mehrfarb. Offsetdruck,Viernheim; Zürich,Viernheim-Verl.; S. A. W. Schmitt Verl.,1965,480 x 600,435 x 370,,8,"Tierbilder, Löwen",bei Abnahme v. 6 Bildern u. mehr nach freier Wahl je Bild 6.-; Mappe zum Aufbewahren 4.-; [Best.Nr] D 12,Offsetdruck,!041144368!,41333357,,,,
Kbl 1965 C 19,"Goya [y Lucientes], Francisco [Josè de]",118541064,Karnevalsszene,,Mehrfarb. Lichtdruck,Dresden,Verl. d. Kunst,1964,665 x 495,545 x 395,Dresdner Meisterdruck. M 1192,20,Bürgerl. Genre,,Lichtdruck,,42736064,,,,
Kbl 1965 C 2,"Dost, H",,Schmetterlingsblütengewächse (Saaterbse),,Mehrfarb. Offsetdruck,Berlin,Volk u. Wissen,1964,1215 x 855,,,,Botanik,"Best.Nr. 701225-1, Preis nach Anfrage; Versorgung d. Kindergärten, Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Offsetdruck,!041740475!,41333357,,,,
Kbl 1965 C 20,"Stengel, Gerhard",118617680,Angler am Bija,,Mehrfarb. Lichtdruck,Dresden,Verl. d. Kunst,1964,545 x 645,425 x 545,Gradus-Blätter. G 3244,20,"Bezeichnete Motive, Fluß und Bachmotive",,Lichtdruck,!041548930!,42736064,,,,
Kbl 1965 C 22,"Gauguin, Paul",118537822,Der große Baum,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1965,605 x 795,485 x 695,"Dresdner Meisterdruck, M 1149",20.- DM (DDR),"Bäume und Sträucher, unbenannte Motive",Pflanze?,Lichtdruck,!041126750!,42736064,,,,
Kbl 1965 C 23,"Grünewald, Matthias",118542907,Madonna um 1520 (Stuppacher Madonna),,Mehrfarb. Lichtdruck,[Dresden],[Verlag der Kunst],1965,675 x 535,600 x 475,"Dresdner Meisterdruck, M 1195",30.- DM (DDR),Marienbilder,,Lichtdruck,,42736064,,,,
Kbl 1965 C 24,"Constable, John",,[Die Mühle von Flatford],,Mehrfarb. Lichtdruck,[Dresden],[Verlag der Kunst],1965,795 x 945,675 x 845,[Dresdner Meisterdruck] M 1190,34.- DM (DDR),"Bauliche Motive, Mühlen",,Lichtdruck,!041153898!,42736064,,,,
Kbl 1965 C 26,"Melcher, Erich",,Schlacht auf dem Eise des Peipussee,"Hrsg. vom Dt. Pädagog. Zentralinst., Dt. Zentralinst. f. Lehrmittel","Nach e. Gemälde, Mehrfarb. Offsetdruck",Berlin,Volk u. Wissen,1965,860 x 1220,610 x 1060,,,Geschichte,"Best.Nr 71131-1, Preis nach Anfrage; Versorgung d. Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Offsetdruck,!041569717!,41333357,,,!004686144!,!004686209!
Kbl 1965 C 27,,,Freifallmischer,"Typ 1301,4. Autor: H. Mielke. Hrsg. Vom Dt. Päagog. Zentralinst., Dt. Zentralinst. F. Lehrmittel",Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1964,1220 x 860,,,,Technik,,Offsetdruck,!041316169!,41333357,,Kurt Eigler,!004686144!,!004686209!
Kbl 1965 C 28,"Brauer, Johannes",11867336X,Warnow-Werft,,Orig.-Vierplatten-Farbradierung,Leipzig,Scholle-Verlag,1965,420 x 600,220 x 315,,85.- DM (DDR),Industrie,Schiff,Radierung,!041616022!,40481662,,,,
Kbl 1965 C 29,"Manet, Edouard",11857700X,Die Barke,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1965,485 x 560,400 x 500,,10,Anonyme Motive,"[Neuaufl.], FOK Nr 15024",Offsetdruck,,41333357,,,,
Kbl 1965 C 3,"Dost, H",,Korbblütengewächse (Sonnenblume),"Hrsg. vom Dt. Pädagog. Zentralinst., Dt. Zentralinst. f. Lehrmittel",Mehrfarb. Offsetdruck,Berlin,Volk u. Wissen,1964,1215 x 855,,,,Botanik,"Best.Nr 701226-1, Preis nach Anfrage; Versorgung d. Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Offsetdruck,!041740475!,41333357,,,!004686144!,!004686209!
Kbl 1965 C 30,"Gauguin, Paul",118537822,Zwei Mädchenakte,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1965,485 x 515,395 x 455,,10.- DM (DDR),Anonyme Motive: Akte,[Neuaufl.],Offsetdruck,!963082795!,41333357,,,,
Kbl 1965 C 31,"Monet, Claude",11858345X,Vergnügungsboote,,Mehrfarb. Lichtdruck,Leipzig,Seemann,1965,450 x 555,360 x 495,,21,Anonyme Motive,"FLK Nr 636, [Neuaufl.]",Lichtdruck,,42736064,,,,
Kbl 1965 C 32,"Monet, Claude",11858345X,Die Brücke bei Argenteuil,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1965,455 x 560,365 x 490,,10,"Bezeichnete Motive, Fluß und Bachmotive",FOK Nr 15112,Offsetdruck,!041548930!,41333357,,,,
Kbl 1965 C 34,"Munch, Edvard",118585738,Tanz des Lebens,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1965,425 x 555,325 x 500,,10.- DM (DDR),Ideenmalerei,"Allegorie, Figurenbild",Offsetdruck,,41333357,,,,
Kbl 1965 C 37,"Dost, H",,Gräser (Rogen),"Hrsg. vom Dt. Pädagog. Zentralinst., Dt. Zentralinst. F. Lehrmittel",Mehrfarb. Offsetdruck,Berlin,Volk u. Wissen,1965,1220 x 860,,,,Botanik,"Best.Nr 7012227-1, Preis nach Anfrage; Versorgung d. Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Offsetdruck,!041740475!,41333357,,,!004686144!,!004686209!
Kbl 1965 C 38,"Dost, H",,Hahnenfußgewächse (Scharfer Hahnenfuß),"Hrsg. vom Dt. Pädagog. Zentralinst., Dt. Zentralinst. F. Lehrmittel",Mehrfarb. Offsetdruck,Berlin,Volk u. Wissen,1965,1220 x 860,,,,Botanik,"Best.Nr 701223-1, Preis nach Anfrage; Versorgung d. Schulen u. Berufsschulen durch d. Verlag zu Schulabgabepreisen",Offsetdruck,!041740475!,41333357,,,!004686144!,!004686209!
Kbl 1965 C 39,,,Gasturbine,Hrsg. Vom Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1965,860 x 1220,,,,Technik,,Offsetdruck,!041316169!,41333357,,Fritz Hampel,!004686144!,
Kbl 1965 C 4,,,"V vesibjule gostinizy [In der Vorhalle eines Hotels, russ.]","Hrsg. Vom Dt. Pädagog. Zentralinst., Dt. Zentralinst. F. Lehrmittel",Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1964,855 x 1215,605 x 1055,,,"Sprachen, Schrift",,Offsetdruck,,41333357,,E. Melcher,!004686144!,!004686209!
Kbl 1965 C 40,"Rembrandt, [Harmensz van Rijn]",11859964X,Der Mann mit dem Goldhelm,,Mehrfarb. Lichtdruck,Leipzig,Seemann,1965,630 x 490,500 x 380,,18.- DM (DDR),Männerbilder,,Lichtdruck,!041237099!,42736064,,,,
Kbl 1965 C 41,,,Textlose Bedienschilder an der DLZ/DZ 500,Hrsg. Vom. Dt. Pädagog. Zentralinst.,Mehrfarb. Offsetdruck,Berlin,Volk und Wissen,1965,855 x 1215,,,,Technik,,Offsetdruck,!041316169!,41333357,,Richard Dabers,!004686144!,
Kbl 1965 C 42,"Pissarro, Camille",118594672,Die Kastanienbäume von Louveciennes,,Mehrfarb. Lichtdruck,Leipzig,Seemann,1965,465 x 575,375 x 495,,21.- DM (DDR),"Bäume und Sträucher, Kastanie","Baum, Winter ; [Neuaufl.]",Lichtdruck,!118910007X!,42736064,,,,
Kbl 1965 C 44,"Gogh, Vincent van",118540416,Blumen in einer Bronzevase,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1965,565 x 455,475 x 395,,10,Blumenstilleben,"FOK Nr 15005, [5. Aufl.]",Offsetdruck,!041127943!,41333357,,,,
Kbl 1965 C 45,"Womacka, Walter",118635123,Landschaft auf Usedom,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1965,445 x 695,355 x 640,,10,"Meer, Bezeichnete Motive",Best.Nr FOK 15098,Offsetdruck,!041692357!,41333357,,,,
Kbl 1965 C 46,"Gogh, Vincent van",118540416,Der Weg mit der Zypresse und dem Stern,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1965,595 x 450,505 x 390,,10.- DM (DDR),"Flachland, Anonyme Landschaften",[Neuauflage],Offsetdruck,!962679267!,41333357,,,,
Kbl 1965 C 47,"Gogh, Vincent van",118540416,Fischerboote bei Saintes Maries,,Mehrfarb. Offsetdr.,Leipzig,Seemann,1965,490 x 555,400 x 500,,10,"Meer, Bezeichnete Motive",Best.Nr FOK 15087,Offsetdruck,!041692357!,41333357,,,,
Kbl 1965 C 48,"Womacka, Walter",118635123,Auslegerboote von West-Bali,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1965,460 x 560,375 x 500,,10,"Meer, Bezeichnete Motive",Best.Nr FOK 15117,Offsetdruck,!041692357!,41333357,,,,
